loc_id,name,latitude,longitude
loc_127253,Aldrans,47.2500000,11.4300000
loc_12372,Alençon,48.4306530,0.0836220
loc_7883,Aleppo,36.2299990,37.1699980
loc_3525,Alessandria,44.8350640,8.6611540
loc_50490,Alexandra,-26.1099190,28.0832210
loc_148894,Alexandria,18.2983330,-77.3575000
loc_4291,Alexandria,38.8047220,-77.0472220
loc_499,Alexandria,31.2199990,29.9500000
loc_12426,Algeciras,36.1299420,-5.4450380
loc_28132,Alger,36.7396500,3.0509740
loc_26831,Alghero,40.5579810,8.3222030
loc_58348,Algiers,36.7528870,3.0420480
loc_838,Algiers,29.9444440,-90.0466670
loc_2680,Alhambra,34.0952780,-118.1261110
loc_46798,Aliança,-7.6057870,-35.2369150
loc_125342,Alice,-32.7833330,26.8333330
loc_1325,Aliso Viejo,33.6083330,-117.7444440
loc_4133,Alkmaar,52.6302110,4.7553420
loc_12535,Allahabad,25.4429700,81.8284070
loc_15202,Allendale,42.9722220,-85.9536110
loc_1397,Allentown,40.6083330,-75.4666670
loc_4070,Alliance,40.9152780,-81.1061110
loc_4576,Alma,48.5711390,-71.6667920
loc_9941,Almelo,52.3557590,6.6630580
loc_7357,Almería,36.8397630,-2.4679110
loc_143466,Almirante Sur,18.3759730,-66.3821710
loc_83114,Almussafes,39.2933288,-0.4107316
loc_5213,Alpharetta,34.0752780,-84.2941670
loc_41593,Alpine,32.8469730,-116.7605510
loc_139963,Alsdorf,32.4049390,-96.5359860
loc_124910,Altamira,19.6666670,-70.8333330
loc_11708,Altamonte Springs,28.6608330,-81.3658330
loc_4674,Altdorf,49.3858490,11.3584300
loc_51100,Altdöbern,51.6514374,14.0347959
loc_38341,Altenmarkt,48.0025670,12.5359620
loc_58771,Altkirch,47.6232875,7.2390595
loc_57111,Alto Garças,-16.9403058,-53.5204706
loc_419,Alton,38.8905560,-90.1841670
loc_8403,Alton,52.9666667,-1.8833333
loc_4056,Altus,34.6380560,-99.3336110
loc_33383,Alwar,27.5618000,76.6087420
loc_16781,Alès,44.1273970,4.0790270
loc_57385,Am Timan,11.0424000,20.2847000
loc_3382,Amadora,38.7500000,-9.2399990
loc_17589,Amagasaki,34.7166667,135.4166667
loc_128364,Amakusa,32.4666670,130.2000000
loc_137509,Amares,41.6333330,-8.3500000
loc_742,Amarillo,35.2219440,-101.8308330
loc_35368,Amboahangibe,-13.7166670,48.6000000
loc_9137,Amersfoort,52.1566510,5.3884380
loc_7626,Amersham,51.6666667,-0.6166667
loc_3586,Ames,42.0347220,-93.6197220
loc_10308,Amherst,45.8263330,-64.2075140
loc_1259,Amherst,42.3736110,-72.5208330
loc_149,Amiens,49.8939180,2.2942430
loc_15139,Amiens,49.8939180,2.2942440
loc_2645,Amilly,47.9744330,2.7678010
loc_817,Amityville,40.6788890,-73.4175000
loc_8821,Amman,31.9500000,35.9300000
loc_59656,Ammochostos,35.1058010,33.9503780
loc_26859,Amorebieta-Etxano,43.2204960,-2.7332360
loc_4292,Amos,48.5844280,-78.1030210
loc_150002,Ampanefena,-13.8605560,49.9469440
loc_50131,Amqui,48.4645170,-67.4313570
loc_22586,Amsterdam,52.3547280,4.9040540
loc_620,Amsterdam,52.3706320,4.8880220
loc_7570,Amsterdam,42.9386110,-74.1886110
loc_123660,An Rinn,52.0500000,-7.5833000
loc_57,Anacortes,48.5127780,-122.6113890
loc_1240,Anaheim,33.8352780,-117.9136110
loc_1336,Anchorage,61.2183330,-149.8916670
loc_3099,Anchorage,38.2666670,-85.5330560
loc_4262,Ancona,43.4802120,13.2037080
loc_20787,Andenne,50.4894380,5.0628420
loc_28854,Anderlecht,50.8275040,4.2765000
loc_4637,Andernach,50.4391950,7.4061540
loc_1345,Anderson,40.1052780,-85.6802780
loc_139823,Anderstorp,57.2819780,13.6274650
loc_71484,Andoain,43.2204799,-2.0211221
loc_116232,Andong,36.5683543,128.7293570
loc_139,Andorra la Vella,42.5099980,1.5099990
loc_1096,Andover,51.2000000,-1.4833333
loc_24807,Anduze,44.0550690,3.9851420
loc_137015,Angeles City,15.1471810,120.5847330
loc_124280,Angered,57.8000000,12.0333330
loc_4650,Angers,47.4694290,-0.5490000
loc_937,Angleton,29.1691670,-95.4316670
loc_7208,Angoulême,45.6483390,0.1609240
loc_143641,Angourie,-29.4794440,153.3591670
loc_53510,Anisimovo,54.0230556,83.6177778
loc_8590,Ankara,39.9293290,32.8532710
loc_115,Ann Arbor,42.2833330,-83.7458330
loc_35890,Annaba,36.9007000,7.7571000
loc_16930,Annandale-on-Hudson,41.9952780,-73.8311110
loc_4272,Annapolis,38.9783330,-76.4925000
loc_865,Annecy,45.9094510,6.1354590
loc_35384,Annemasse,46.1941810,6.2389700
loc_1312,Anniston,33.6597220,-85.8316670
loc_45702,Annotto Bay,18.2703510,-76.7704410
loc_114276,Ano Syros,37.4827780,24.9352780
loc_114310,Anogeia Rethymnou,35.2896605,24.8844831
loc_117519,Anseong,37.0079695,127.2796786
loc_25206,Anstruther,56.2166667,-2.7000000
loc_4665,Antananarivo,-18.8899990,47.5099980
